2024/07/30 23:32:36 [notice] 1#1: using the "epoll" event method
2024/07/30 23:32:36 [notice] 1#1: nginx/1.27.0
2024/07/30 23:32:36 [notice] 1#1: built by gcc 13.2.1 20231014 (Alpine 13.2.1_git20231014) 
2024/07/30 23:32:36 [notice] 1#1: OS: Linux 5.15.153.1-microsoft-standard-WSL2
2024/07/30 23:32:36 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/07/30 23:32:36 [notice] 1#1: start worker processes
2024/07/30 23:32:36 [notice] 1#1: start worker process 29
2024/07/30 23:32:36 [notice] 1#1: start worker process 30
2024/07/30 23:32:36 [notice] 1#1: start worker process 31
2024/07/30 23:32:36 [notice] 1#1: start worker process 32
2024/07/30 23:32:36 [notice] 1#1: start worker process 33
2024/07/30 23:32:36 [notice] 1#1: start worker process 34
2024/07/30 23:32:36 [notice] 1#1: start worker process 35
2024/07/30 23:32:36 [notice] 1#1: start worker process 36
2024/07/30 23:32:36 [notice] 1#1: start worker process 37
2024/07/30 23:32:36 [notice] 1#1: start worker process 38
2024/07/30 23:32:36 [notice] 1#1: start worker process 39
2024/07/30 23:32:36 [notice] 1#1: start worker process 40
2024/07/30 23:32:36 [notice] 1#1: start worker process 41
2024/07/30 23:32:36 [notice] 1#1: start worker process 42
2024/07/30 23:32:36 [notice] 1#1: start worker process 43
2024/07/30 23:32:36 [notice] 1#1: start worker process 44
